Country,Entries
united states,1186
norway,339
canada,263
united kingdom,76
denmark,71
france,55
netherlands,54
kuwait,35
austria,31
belgium,27
australia,19
india,18
finland,18
ireland,14
poland,14
sweden,13
germany,10
switzerland,10
south africa,10
argentina,6
united arab emirates,5
turkey,4
lithuania,3
brazil,1
puerto rico,1
chile,1
new zealand,1
